id,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
KE,1516,1918,2291,2776,2653,1918,3295,3013,5420,4343,3943,5159,7370,6855,5066,5564,5811,8409,19515,34237,33552,36162,39701,67271,67985,75593,69497,78779,59303,100195,143843,96917,160150,144134,224347,263283,349265,396432,348163,49612
GG,99,213,192,183,262,301,209,238,314,339,1177,662,2696,2793,3866,2568,2670,4164,5480,7273,10618,9860,12246,12970,13242,14111,6018,13841,17375,61742,53175,41770,50433,43890,41876,27332,30044,30980,30118,3737
GK,0,0,0,0,12,6,1,2,0,0,4,0,1,3,39,1,24,45,6,37,24,18,14,16,0,33,49,83,376,508,926,743,945,1373,1700,1931,8493,9605,7629,648
QA,191,317,353,355,477,528,363,630,471,543,337,909,1261,1417,1028,2053,3008,5578,6811,5101,5827,8249,11850,6292,10880,10254,5712,11851,15631,25980,54362,41996,65086,77806,71974,113103,122714,125560,205415,17147
NU,3836,1326,2625,6395,17351,17127,14810,15713,16386,15793,8656,7259,3107,1893,3724,1934,1366,4025,3298,3303,2271,3305,1715,1802,2542,1743,1580,2110,6427,6506,14944,7690,7820,9880,13390,15049,19488,20095,18897,2255
SH,0,0,2,8,15,25,25,7,1,5,13,0,2,6,16,3,7,17,25,22,18,11,24,12,16,5,36,225,1162,221,1393,3575,6594,4932,59,129,402,394,184,263
DQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,14,21,5,2
CF,152,174,141,150,138,314,189,240,167,957,442,278,429,351,847,501,372,708,7686,3764,3801,1983,2267,2408,2094,1506,1614,4633,6212,6989,9016,7997,8027,17319,27952,24679,38839,48466,40057,5833
BT,33,34,21,21,65,50,693,246,115,209,123,207,347,336,393,259,208,458,630,871,535,1307,1306,1099,3135,2285,1293,1749,3144,3720,5846,8707,7756,6547,7673,17956,19045,22965,24783,2391
CU,3492,4444,3760,4006,5941,4825,4051,3713,3615,6933,6160,4300,4709,3073,3768,10129,7253,17775,21004,24654,27126,35929,27089,23076,28931,22484,13154,22638,38895,61375,113618,79508,88787,98717,103503,131257,262399,265036,142294,15152
CM,234,289,277,244,274,501,502,737,420,311,311,410,659,427,425,1412,559,2377,1544,1167,1444,1623,2875,2833,4714,5583,8631,10378,8380,12380,12706,7891,10260,9550,18473,35652,65036,48399,45963,8143
GQ,13,55,168,53,86,138,52,234,58,41,46,193,101,48,125,42,70,209,429,291,215,185,306,176,291,146,179,513,943,1517,2346,3247,2600,4367,15693,24891,26255,29212,34723,2841
HU,4170,3195,2489,3185,4178,4471,4274,4828,5406,7223,12154,7623,8105,6984,7908,9896,12579,13635,22425,24479,30671,22801,19132,13448,13734,11121,7306,9370,10541,11460,36388,28138,40696,41167,32371,54239,133423,94437,84839,10045
MI,150,128,139,301,280,282,179,758,296,725,481,311,479,1312,979,1253,1857,1235,2040,1777,3428,3883,4731,5683,4886,4949,4938,5703,3892,4715,15615,9743,17955,30394,23761,28395,51224,72911,63810,8859
NG,79,266,196,140,284,268,343,167,245,420,356,407,364,554,681,1030,1310,2101,2090,2574,3273,2169,1736,2514,3102,2452,3834,3511,5771,4951,14914,12278,18959,12478,18470,20936,52484,45183,49880,5790
PO,1171,1454,1256,1855,1886,2326,2754,2276,1843,1823,1611,1636,2699,3268,2947,4104,4657,7039,7957,11328,16473,12153,10038,7473,12275,9298,6473,7035,28220,19619,35996,34724,40639,34602,38480,43858,62485,75339,74806,8079
AA,0,0,32,0,43,57,42,47,35,45,16,8,21,6,17,14,22,31,62,60,90,53,146,112,65,87,827,377,982,800,1074,1713,3626,1710,762,2717,3695,3259,3382,519
FP,5,5,4,1,31,17,196,31,62,34,8,63,109,72,29,29,1321,240,106,91,78,54,79,148,246,345,235,212,339,2220,1186,503,542,443,409,665,1471,2922,2689,380
WF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,22,0,6,8,4,0
FQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,1,2,8,11,1
TW,809,965,2011,2092,1854,1729,2349,1927,1628,2077,1925,1962,3371,2930,2864,5110,9460,21723,25104,29280,33893,33600,37750,26292,40148,32700,16400,18963,37986,81760,93218,68939,74604,69788,75868,98704,124964,160725,118777,14180
BK,56,29,21,50,74,79,58,49,130,108,89,72,820,9528,23375,32360,34553,38139,28976,20960,15892,12738,14621,10331,10118,8725,6187,6955,10212,11025,12690,10752,15100,10405,5707,11886,19353,17369,13596,1176
BX,85,95,114,86,186,329,202,525,887,663,636,392,643,933,701,849,1739,1948,2613,2074,2241,3540,3448,3305,2022,1997,1766,2178,3430,6310,9781,10613,17855,19106,25849,30364,57462,98141,45920,5166
